Название,Цена (₸),Категория,Партнёр,Дата,Город
"Квиз, плиз! #753",3 000,Развлечения,Quiz please Almaty,05.07.2025 17:00:00,almaty
Женская тренировка Stretching Season + Matcha,14 000,Спорт,Данеля (м.п),20.07.2025 16:00:00,almaty
Дамир Нурсеитов и Руслан Тай: двойной стендап-концерт (4 июля),5 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,04.07.2025 19:00:00,almaty
Комедийное шоу «Рассмеши меня» (6 июля),3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,06.07.2025 21:00:00,almaty
«Интеллигентно қу» жобасы (5 шілде),5 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,05.07.2025 21:00:00,almaty
Стендап-шоу «Новые шутки» (6 июля),3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,06.07.2025 19:00:00,almaty
Мистическое cтендап-шоу «Матрица Судьбы» (3 июля),2 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,03.07.2025 21:30:00,almaty
Тайный сольный стендап-концерт (5 июля),3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,05.07.2025 19:00:00,almaty
"Sheree (США) – Jazz Friends (6 июля, 18:00)",8 000,Концерты в EverJazz,Jazz.Club.EverJazz,06.07.2025 18:00:00,almaty
"Sheree (США) – Jazz Friends (5 июля, 19:00)",8 000,Концерты в EverJazz,Jazz.Club.EverJazz,05.07.2025 19:00:00,almaty
Тройной стендап. Новые шутки (by Stand Up Camp),4 000,События от Stand Up Camp,Евгений Stand Up Camp,05.07.2025 20:00:00,almaty
Киноужин с фильмом «Меню» от VkusKino,36 000,Кинопоказы,Вкускино,13.07.2025 19:30:00,almaty
"Мадияр Нурманбетов, Аманжан Махметов и Берик Канапиянов: проверочный стендап-концерт (4 июля)",3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,04.07.2025 19:00:00,almaty
Стендап-шоу «Новые шутки»  (3 июля),3 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,03.07.2025 21:00:00,almaty
Сплав по реке Или на каяках,18 000,Туризм,Елена - Каякинг,03.07.2025 08:00:00,almaty
Спектакль «Кандидаты» (гастроли Шымкентского независимого театра «Разработка»),5 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,18.07.2025 20:00:00,almaty
Спектакль «Сиротливый запад»,4 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,25.07.2025 20:00:00,almaty
Пресс-показ спектакля «Сиротливый запад»,10 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,17.07.2025 20:00:00,almaty
Лаборатория театрализованной читки пьесы «Косточка дерева Будды»,10 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,05.07.2025 14:00:00,almaty
Театрализованная читка пьесы «Косточка дерева Будды»,2 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,05.07.2025 20:00:00,almaty
Вечерний кинопоказ под открытым небом,2 000,Кинопоказы,open_cinema,03.07.2025 01:25:00,almaty
Кинотеатр под открытым небом Cinemapark Almaty,2 000,Кинопоказы,"nurasyl (М.П,)",03.07.2025 20:00:00,almaty
Концерт Jennifer Lopez в Астане,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,almaty
Sezim melodiasy тобының концерті (4 шілде),6 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,04.07.2025 21:30:00,almaty
Стендап-концерт Ербола Бекишева,4 500,Stand Up,Виталий Stand Up Soultustik,09.07.2025 20:00:00,almaty
Стендап премьера by Stand Up Camp,1 500,События от Stand Up Camp,Евгений Stand Up Camp,05.07.2025 20:00:00,almaty
Жёсткий стендап (by Stand Up Camp),3 500,События от Stand Up Camp,Евгений Stand Up Camp,04.07.2025 23:30:00,almaty
Жёсткий стендап (by Stand Up Camp),3 500,События от Stand Up Camp,Евгений Stand Up Camp,04.07.2025 21:00:00,almaty
Стендап — 7 комиков (by Stand Up Camp),3 000,События от Stand Up Camp,Евгений Stand Up Camp,03.07.2025 21:00:00,almaty
Ночной сеанс стендапа (by Stand Up Camp),1 500,События от Stand Up Camp,Евгений Stand Up Camp,05.07.2025 22:30:00,almaty
Комедийное шоу «Сетаптар» (3 июля 19:30),2 000,События от Punch StandUp Club,Punch Standup club,03.07.2025 19:30:00,almaty
Комедийное шоу «Сетаптар» (3 июля 21:30),2 000,События от Punch StandUp Club,Punch Standup club,03.07.2025 21:30:00,almaty
Шоу «Женский стендап» (4 июля),2 000,События от Punch StandUp Club,Punch Standup club,04.07.2025 19:30:00,almaty
Шоу «Биг стендап» (4 июля),5 000,События от Punch StandUp Club,Punch Standup club,04.07.2025 21:30:00,almaty
Шоу «Биг стендап» (5 июля),5 000,События от Punch StandUp Club,Punch Standup club,05.07.2025 21:30:00,almaty
Большой открытый микрофон (5 июля),2 000,События от Punch StandUp Club,Punch Standup club,05.07.2025 16:00:00,almaty
Юмористическое шоу «Воскресный Гарри Поттер» (6 июля),2 000,События от Punch StandUp Club,Punch Standup club,06.07.2025 17:00:00,almaty
Шоу «Крепкий стендап» (6 июля),3 000,События от Punch StandUp Club,Punch Standup club,06.07.2025 21:30:00,almaty
Большой трибьют Metallica от Komancheros,10 000,Концерты,Денис KOMANCHEROS,18.07.2025 20:00:00,almaty
Концерт JONY в Алматы,12 000,Концерты,Асель Чубаева Л 6%,13.09.2025 20:00:00,almaty
Сольный-концерт Артура Шамгунова «Больно смешно» (8 сентября),5 000,События в Almaty Central Stand Up Club,Almaty Central Stand Up Club,08.09.2025 19:30:00,almaty
Сольный стендап-концерт Алексея Квашонкина (1 ноября),8 000,События в Almaty Central Stand Up Club,Туры ИП «ALEM COMEDY»,01.11.2025 19:30:00,almaty
Фестиваль Vincent OpenFest 2025 в Каскелене,10 000,Фестивали,Camila (м.п),06.07.2025 16:00:00,almaty
Выступление Summer Of Haze,5 000,Вечеринки,Сабит Бакытжанов (М.П),25.07.2025 22:00:00,almaty
Киноужин с мультфильмом «Кунг-фу Панда» от VkusKino,21 000,Кинопоказы,Вкускино,12.07.2025 18:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (11 октября),3 000,Спорт,Владимир (м.п),11.10.2025 11:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (15 октября 19:00),4 500,Спорт,Владимир (м.п),15.10.2025 19:00:00,almaty
"Теннисный фестиваль Almaty Open ATP 250 (16 октября, 11:00)",3 500,Спорт,Владимир (м.п),16.10.2025 11:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (15 октября 11:00),3 500,Спорт,Владимир (м.п),15.10.2025 11:00:00,almaty
"Теннисный фестиваль Almaty Open ATP 250 (16 октября, 19:00)",4 500,Спорт,Владимир (м.п),16.10.2025 19:00:00,almaty
"Теннисный фестиваль Almaty Open ATP 250 (17 октября, 11:00)",4 000,Спорт,Владимир (м.п),17.10.2025 11:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (14 октября 19:00),4 500,Спорт,Владимир (м.п),14.10.2025 19:00:00,almaty
"Теннисный фестиваль Almaty Open ATP 250 (17 октября, 19:00)",5 000,Спорт,Владимир (м.п),17.10.2025 19:00:00,almaty
"Теннисный фестиваль Almaty Open ATP 250 (18 октября, 12:00)",4 000,Спорт,Владимир (м.п),18.10.2025 12:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (13 октября 19:00),4 500,Спорт,Владимир (м.п),13.10.2025 19:00:00,almaty
"Теннисный фестиваль Almaty Open ATP 250 (18 октября, 19:00)",5 000,Спорт,Владимир (м.п),18.10.2025 19:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (19 октября),7 000,Спорт,Владимир (м.п),19.10.2025 12:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (14 октября 11:00),3 000,Спорт,Владимир (м.п),14.10.2025 11:00:00,almaty
Теннисный фестиваль Almaty Open ATP 250 (12 октября),3 000,Спорт,Владимир (м.п),12.10.2025 11:00:00,almaty
Датский техно рейв с Mama Snake,10 000,Вечеринки,"marat (М.П,)",05.07.2025 20:00:00,almaty
Гаухар Саттарова и группа Steps –  The summer knows,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,18.07.2025 22:00:00,almaty
Трио Дианы Макиной – Душевный джаз,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,30.07.2025 20:00:00,almaty
Квинтет Далена Шинтемирова – Better Than Anything,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,04.07.2025 19:00:00,almaty
Трио Дайаны Досхана – Qazaq Soul: Acoustic Night,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,09.07.2025 20:00:00,almaty
Группа Pronto и Ева Хилами – DiscoJazz,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,04.07.2025 22:00:00,almaty
Almaty BirdFest  2025,6 000,Фестивали,"Elmira Mustafina (М.П,)",22.08.2025 00:00:00,almaty
Театрализованная читка пьесы «Птица на чердаке»,2 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,12.07.2025 20:00:00,almaty
Лаборатория театрализованной читки пьесы «Птица на чердаке»,10 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,12.07.2025 14:00:00,almaty
Монопектакль «Тёмная ночь»,4 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,06.07.2025 20:00:00,almaty
Комедийное шоу «Чотам?»,5 000,Stand Up,Максат Stand Up_Almaty,18.07.2025 19:00:00,almaty
Фестиваль электронной музыки Şien,7 000,Фестивали,ZVUK,19.07.2025 15:00:00,almaty
Киноужин с фильмом «Шрек 2» от VkusKino,18 500,Кинопоказы,Вкускино,09.07.2025 19:30:00,almaty
Трио Дайаны Досхана - Qazaq Soul: Soul of the Steppe,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,22.07.2025 20:00:00,almaty
Спектакль «ЧЯрли ГордАн»,10 000,Спектакли в театре 2act,2 act theatre,19.07.2025 19:00:00,almaty
Vlad polak band —  Мировой блюз,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,12.07.2025 22:00:00,almaty
Sensations — R'n'B & Soul Compilations,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,11.07.2025 22:00:00,almaty
Тур «Плато Ассы и Медвежий водопад»,16 500,Туры от Blast Tour,Виталий BLAST TOUR,04.07.2025 08:00:00,almaty
Спектакль «Мечта»,4 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,04.07.2025 20:00:00,almaty
Спектакль «А рыбы спят?»,4 000,Спектакли в арт-убежище BUNKER,Независимый Экспериментальный Театр ,13.07.2025 19:00:00,almaty
Урок по керамике «Все включено»,10 000,Мастер-классы,Творческая академия ,03.07.2025 17:00:00,almaty
Фестиваль комиксов и поп-культуры AlmaCon 2025,3 000,Фестивали,Сабит Бакытжанов (М.П),16.11.2025 12:00:00,almaty
Автомобильный тур «БАО – Большое Алматинское Озеро и водопад Аюсай»,30 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Игорь Ананьев и Аkko Band – Noche de Acordeón,4 000,Концерты в EverJazz,Jazz.Club.EverJazz,13.07.2025 18:00:00,almaty
Двухдневный тур на озеро Кольсай и Кайынды + 3 каньона реки Чарын,27 500,Туры от Grande Voyage,Константин grande voyage,04.07.2025 21:00:00,almaty
Тур «Жаркент + Аулие Агаш»,13 500,Туры от Grande Voyage,Константин grande voyage,06.07.2025 07:00:00,almaty
Тур на Чарынский каньон: «Долина замков и Куртогай»,8 500,Туры от Grande Voyage,Константин grande voyage,05.07.2025 07:30:00,almaty
Однодневный тур на озера Кольсай и Кайынды + Черный каньон,12 500,Туры от Grande Voyage,Константин grande voyage,05.07.2025 06:00:00,almaty
Литературно-музыкальный спектакль «Хулиган и классик» в Алматы,100,Театр,Юлия (М.П.),26.11.2025 19:00:00,almaty
Jazz Colors - Reversio. Jazz & Bossa,2 000,Концерты в EverJazz,Jazz.Club.EverJazz,03.07.2025 20:00:00,almaty
"Тур «Алматинское Золотое Кольцо: горы, каньоны, озера и Поющий Бархан»",640 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 08:00:00,almaty
"Тур «Чарынский каньон, Долина замков и река Чарын»",100 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 07:00:00,almaty
Тур «Тайны Танбалы: путешествие к петроглифам ЮНЕСКО в сердце Центральной Азии»,100 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 07:00:00,almaty
Тур «Этно-тур в аул кочевников из Алматы — всё включено»,125 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Двухдневный тур в Алтын-Эмель: от мелодий Поющего бархана до величия гор Актау и Катутау,300 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 08:00:00,almaty
"Индивидуальный тур на ночь в горы с посещением озёр Кольсай и Каинды, а также Чарынского, Черного и Лунного каньонов",240 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Индивидуальный тур «Озеро Иссык»,90 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Спектакль Brüderschaft (Братство),11 000,Спектакли в театре 2act,2 act theatre,26.07.2025 19:00:00,almaty
Тур «Кольсай + 3 каньона»,12 500,Туры от Blast Tour,Виталий BLAST TOUR,05.07.2025 06:00:00,almaty
Тур «Водопад Текес и озеро Тузколь»,190 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 05:30:00,almaty
Тур «Озеро Кайынды и озеро Кольсай за 1 день»,140 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 06:30:00,almaty
Тур «Национальный парк Алтын Эмель: горы Актау и Катутау»,190 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 07:00:00,almaty
Тур «Петроглифы Тамгалы Тас и Город Кочевников»,120 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Тур «Водопад Аюсай и горячие источники Алма Арасан»,24 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 08:00:00,almaty
Тур «Чарынский каньон: в Долину Замков до реки Чарын»,19 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 07:30:00,almaty
Спектакль «Мне не смешно»,6 000,Спектакли в театре 2act,2 act theatre,01.08.2025 20:00:00,almaty
Овощи-Фрукты - В солнечном городе….,6 000,Концерты в EverJazz,Jazz.Club.EverJazz,20.07.2025 21:00:00,almaty
Интерактивный спектакль для самых маленьких «Академия фей и волшебников»,3 200,Мероприятия в театре La Bohême,laboheme.theatreetcafe@gmail.com,05.07.2025 14:00:00,almaty
Трансформационная игра «Женское счастье»,24 000,Образование,Творческая академия ,03.07.2025 19:00:00,almaty
Спектакль «Жанна д'Арк»,6 000,Спектакли в театре 2act,2 act theatre,12.07.2025 19:00:00,almaty
Уроки керамики для взрослых,7 000,Мастер-классы,Творческая академия ,03.07.2025 19:00:00,almaty
Семейный мастер-класс по игре на этнических барабанах,6 000,Мероприятия в театре La Bohême,laboheme.theatreetcafe@gmail.com,20.07.2025 16:00:00,almaty
Спектакль «Лучший сотрудник Вечности»,5 000,Спектакли в театре 2act,2 act theatre,02.08.2025 19:00:00,almaty
Спектакль «Любовь. Письма»,3 000,Спектакли в театре 2act,admin@darikros.ru,06.07.2025 18:00:00,almaty
Мастер-класс по игре на этнических барабанах,2 500,Мероприятия в театре La Bohême,La Bohême Театр,06.07.2025 16:00:00,almaty
Интерактивный цирк Шапито,2 300,Мероприятия в театре La Bohême,La Bohême Театр,05.07.2025 12:00:00,almaty
Интерактивное шоу «Веселое путешествие с пчелкой Майей»,2 800,Мероприятия в театре La Bohême,La Bohême Театр,06.07.2025 12:00:00,almaty
All stars jam session – Джазовая музыка и импровизация,2 000,Концерты в EverJazz,Jazz.Club.EverJazz,07.07.2025 20:00:00,almaty
Обзорная экскурсия на автомобиле «Такой разный Алматы: город и горы за 1 день»,105 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Обзорная пешеходная экскурсия «Алматинский вайб»,20 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 12:00:00,almaty
"Тур на автомобиле «Туркестан, Отрар и Арыстан Баб за один день»",45 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 09:00:00,almaty
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»,15 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 10:00:00,almaty
Встречи клуба «Арт-терапия»,20 000,Образование,Творческая академия ,17.07.2025 19:00:00,almaty
Тур на озеро Иссык и Медвежий водопад,7 500,Туры от Grande Voyage,Константин grande voyage,03.07.2025 08:30:00,almaty
Тур «Озеро Иссык и водопад Медвежий»,14 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 07:00:00,almaty
"Тур «Чарынский каньон, Черный и Лунный каньоны»",19 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 06:30:00,almaty
Тур на внедорожниках «Алтын Эмель – Поющий Бархан»,49 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 06:30:00,almaty
"Тур «Озера Каинды, Кольсай, Черный и Чарынский каньоны»",18 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 05:45:00,almaty
"Посвящение Антуану Карлосу Жобиму - Джаз, проверенный временем",2 000,Концерты в EverJazz,Jazz.Club.EverJazz,12.07.2025 19:00:00,almaty
Тур на внедорожниках «Плато Ассы и Тургеньский (Медвежий) водопад»,14 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 08:00:00,almaty
"Тур «Озеро Кольсай, Чарынский каньон и Черный каньон»",19 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 06:30:00,almaty
"Тур «Озеро Каинды, Чарынский каньон и Черный каньон»",19 000,Туры от Melon Travel,MELONTRAVEL,03.07.2025 06:30:00,almaty
All stars jam session – Джазовая музыка и импровизация,2 000,Концерты в EverJazz,Jazz.Club.EverJazz,14.07.2025 20:00:00,almaty
All stars jam session – Джазовая музыка и импровизация,2 000,Концерты в EverJazz,Jazz.Club.EverJazz,21.07.2025 20:00:00,almaty
All stars jam session – Джазовая музыка и импровизация,2 000,Концерты в EverJazz,Jazz.Club.EverJazz,28.07.2025 20:00:00,almaty
Тур «Кайракский водопад»,9 500,Туры от Grande Voyage,Константин grande voyage,13.07.2025 08:00:00,almaty
Тур «Монахово ущелье»,9 500,Туры от Grande Voyage,Константин grande voyage,05.07.2025 08:00:00,almaty
Тур на Капчагайское водохранилище,9 500,Туры от Grande Voyage,Константин grande voyage,03.07.2025 07:30:00,almaty
Тур «Монахово ущелье»,9 500,Туры от Blast Tour,Виталий BLAST TOUR,05.07.2025 07:30:00,almaty
Тур «Капчагай. База отдыха ,9 500,Туры от Blast Tour,Виталий BLAST TOUR,03.07.2025 07:45:00,almaty
Тур «Кайракский водопад»,9 500,Туры от Blast Tour,Виталий BLAST TOUR,13.07.2025 08:00:00,almaty
Тур «Плато Ассы и водопад Медвежий в Тургене»,11 500,Туры от Grande Voyage,Константин grande voyage,04.07.2025 07:45:00,almaty
Тур «Тургенский водопад»,4 500,Туры от Blast Tour,Виталий BLAST TOUR,03.07.2025 08:30:00,almaty
"Тур «Жаркент: Мечеть, Церковь + Святое дерево»",13 500,Туры от Blast Tour,Виталий BLAST TOUR,06.07.2025 07:00:00,almaty
"Двухдневный тур «Кольсайское озеро, озеро Кайынды, Чарын 3 каньона»",25 500,Туры от Blast Tour,Виталий BLAST TOUR,04.07.2025 21:00:00,almaty
Тур к Городу кочевников + Тамгалы тас,13 000,Туры от Blast Tour,Виталий BLAST TOUR,06.07.2025 08:00:00,almaty
Тур «Чарын: Долина замков + урочище Куртогай»,6 500,Туры от Blast Tour,Виталий BLAST TOUR,05.07.2025 07:30:00,almaty
Тур к озерам Кольсай и Кайынды + Черный каньон,13 500,Туры от Blast Tour,Виталий BLAST TOUR,05.07.2025 06:30:00,almaty
Тур «Джип-тур по Мангыстау»,180 000,Туры от MOCEAN Travel,Mocean Travel,21.08.2025 07:00:00,almaty
Jazz Colours — Hot & Funky,2 000,Концерты в EverJazz,Jazz.Club.EverJazz,19.07.2025 19:00:00,almaty
Фестиваль гик-культуры Comic Con Astana 2025,3 750,Фестивали,Comic Con Astana (М.П.),09.07.2025 10:00:00,astana
Концерт Jony в Астане,29 000,Концерты,Асель zakazbiletov.kz 6%,14.09.2025 20:00:00,astana
Большой трибьют Metallica от Komancheros,10 000,Концерты,Денис KOMANCHEROS,19.07.2025 20:00:00,astana
Концерт Captown в Астане,8 000,Концерты,VI Project 7%,25.07.2025 18:00:00,astana
Open-Air Drift-show,4 000,Развлечения,Сейт Open-air Drift-show,06.07.2025 12:00:00,astana
Летний показ мод RunwayShow KZ Summer,10 000,Развлечения,Показ мод  (М.П.),10.07.2025 17:00:00,astana
Выступление ALEM,3 000,Концерты,"Mereke BHB (М.П,)",11.07.2025 23:00:00,astana
Клубное выступление LUCAVEROS,3 000,Концерты,"Mereke BHB (М.П,)",05.07.2025 22:00:00,astana
Вечеринка OMUT,3 000,Вечеринки,Сабит Бакытжанов (М.П),25.07.2025 23:00:00,astana
Вечеринка ARKADICH x SIRDSAPES,3 000,Вечеринки,skvot (М.П),05.07.2025 23:00:00,astana
Город профессий Kidburg,2 500,Развлечения,saifura (м.п),03.07.2025 00:00:00,astana
"Квиз, плиз! #634",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",13.07.2025 20:00:00,astana
